"시도별(1)","시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,일반의,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,인턴,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,레지던트,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의,전문의
"시도별(1)","시점",전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,의원,의원,보건소 및 보건기관,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,의원,의원,전체,상급종합,종합병원,종합병원,종합병원,종합병원,병원,병원,병원,요양병원,요양병원,요양병원,요양병원,의원,의원,의원,보건소 및 보건기관,기타
"시도별(1)","시점",소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,소계,병상없음,소계,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,소계,병상없음,소계,소계,소계,500병상 이상,300-499병상,100-299병상,소계,100병상 이상,30-99병상,소계,300병상 이상,100-299병상,30-99병상,소계,병상있음,병상없음,소계,소계
"대구","2010",4394,1636,402,225,94,83,552,327,225,97,-,79,18,1679,414,1265,27,1,229,62,8,4,3,1,22,14,8,26,-,17,9,104,26,78,7,-,222,193,29,21,5,3,-,-,-,-,-,-,-,840,715,124,94,20,10,1,-,1,-,-,-,-,3103,666,241,106,66,69,529,313,216,71,-,62,9,1575,388,1187,20,1
"대구","2011",4516,1628,389,211,93,85,591,355,236,111,-,95,16,1768,438,1330,27,2,302,134,6,3,2,1,21,13,8,29,-,23,6,109,29,80,3,-,207,184,23,14,4,5,-,-,-,-,-,-,-,754,636,116,85,21,10,2,-,2,-,-,-,-,3253,674,244,109,66,69,568,342,226,82,-,72,10,1659,409,1250,24,2
"대구","2012",4725,1639,460,210,155,95,652,381,271,116,-,100,16,1831,432,1399,24,3,314,129,11,8,2,1,26,18,8,36,-,31,5,105,26,79,7,-,118,94,24,16,2,6,-,-,-,-,-,-,-,838,728,107,74,22,11,3,-,3,-,-,-,-,3455,688,318,112,129,77,623,363,260,80,-,69,11,1726,406,1320,17,3
"대구","2013",4877,1640,488,224,168,96,696,402,294,150,9,123,18,1882,435,1447,19,2,363,166,15,11,1,3,25,17,8,40,1,33,6,111,23,88,6,-,78,30,48,40,5,3,-,-,-,-,-,-,-,804,714,87,55,20,12,3,-,3,-,-,-,-,3632,730,338,118,142,78,668,385,283,110,8,90,12,1771,412,1359,13,2
"대구","2014",4880,1593,469,289,94,86,732,414,318,177,10,154,13,1883,435,1448,24,2,260,60,11,9,1,1,27,17,10,44,1,40,3,111,24,87,7,-,111,99,12,2,5,5,-,-,-,-,-,-,-,812,711,99,75,14,10,2,-,2,-,-,-,-,3697,723,347,203,74,70,703,397,306,133,9,114,10,1772,411,1361,17,2
"대구","2015",4957,1569,504,303,97,104,728,409,319,193,9,171,13,1938,443,1495,23,2,305,112,18,14,2,2,23,14,9,42,2,37,3,105,22,83,5,-,198,186,12,5,1,6,-,-,-,-,-,-,-,645,545,98,69,18,11,2,-,2,-,-,-,-,3809,726,376,215,76,85,703,395,308,151,7,134,10,1833,421,1412,18,2
"대구","2016",5114,1574,530,424,-,106,755,438,317,209,10,192,7,2020,433,1587,21,5,261,75,19,12,-,7,23,16,7,39,2,35,2,101,18,83,3,1,394,333,61,60,-,1,-,-,-,-,-,-,-,482,430,50,41,-,9,2,-,2,-,-,-,-,3977,736,400,311,-,89,730,422,308,170,8,157,5,1919,415,1504,18,4
"대구","2017",5339,1668,494,343,47,104,794,443,351,225,10,206,9,2127,444,1683,26,5,373,164,19,14,-,5,24,17,7,38,2,34,2,118,19,99,9,1,168,164,4,4,-,-,-,-,-,-,-,-,-,620,530,87,78,3,6,3,-,3,-,-,-,-,4178,810,384,247,44,93,767,426,341,187,8,172,7,2009,425,1584,17,4
"대구","2018",5320,1660,417,266,50,101,793,489,304,229,9,216,4,2190,432,1758,26,5,298,99,19,14,-,5,24,16,8,35,2,32,1,115,17,98,5,1,132,89,43,43,-,-,-,-,-,-,-,-,-,629,577,49,39,6,4,3,-,3,-,-,-,-,4261,895,306,170,44,92,766,473,293,194,7,184,3,2075,415,1660,21,4
"대구","2019",5442,1627,493,275,57,161,773,411,362,233,11,213,9,2289,404,1885,22,5,325,119,18,10,3,5,22,15,7,33,3,29,1,127,15,112,5,1,268,229,39,39,-,-,-,-,-,-,-,-,-,444,377,63,54,9,-,4,-,4,-,-,-,-,4405,902,373,172,45,156,747,396,351,200,8,184,8,2162,389,1773,17,4
