"경제활동별(1)","시점","시도별(1)",실질
"지역내총생산(시장가격)","2001","광주광역시",20828849
"지역내총생산(시장가격)","2001","대전광역시",23813574
"지역내총생산(시장가격)","2001","울산광역시",50423452
"지역내총생산(시장가격)","2001","경기도",171443115
"지역내총생산(시장가격)","2001","강원도",26668912
"지역내총생산(시장가격)","2001","충청북도",28294054
"지역내총생산(시장가격)","2001","충청남도",46432861
"지역내총생산(시장가격)","2001","전라북도",31465262
"지역내총생산(시장가격)","2001","전라남도",49464042
"지역내총생산(시장가격)","2001","경상북도",56490106
"지역내총생산(시장가격)","2001","경상남도",61928632
"지역내총생산(시장가격)","2001","제주특별자치도",9200210
"지역내총생산(시장가격)","2002","서울특별시",261328220
"지역내총생산(시장가격)","2002","부산광역시",57866997
"지역내총생산(시장가격)","2002","대구광역시",35743105
"지역내총생산(시장가격)","2002","인천광역시",50972798
"지역내총생산(시장가격)","2002","광주광역시",22420270
"지역내총생산(시장가격)","2002","대전광역시",25497366
"지역내총생산(시장가격)","2002","울산광역시",55068266
"지역내총생산(시장가격)","2002","경기도",186126487
"지역내총생산(시장가격)","2002","강원도",27377155
"지역내총생산(시장가격)","2002","충청북도",29656804
"지역내총생산(시장가격)","2002","충청남도",50205811
"지역내총생산(시장가격)","2002","전라북도",32419090
"지역내총생산(시장가격)","2002","전라남도",52071978
"지역내총생산(시장가격)","2002","경상북도",60328507
"지역내총생산(시장가격)","2002","경상남도",66357305
"지역내총생산(시장가격)","2002","제주특별자치도",9693184
"지역내총생산(시장가격)","2003","서울특별시",266033918
"지역내총생산(시장가격)","2003","부산광역시",59924431
"지역내총생산(시장가격)","2003","대구광역시",36396595
"지역내총생산(시장가격)","2003","인천광역시",52157498
"지역내총생산(시장가격)","2003","광주광역시",22585186
"지역내총생산(시장가격)","2003","대전광역시",26757005
"지역내총생산(시장가격)","2003","울산광역시",54100049
"지역내총생산(시장가격)","2003","경기도",196745165
"지역내총생산(시장가격)","2003","강원도",28861908
"지역내총생산(시장가격)","2003","충청북도",30693993
"지역내총생산(시장가격)","2003","충청남도",55468963
"지역내총생산(시장가격)","2003","전라북도",32768805
"지역내총생산(시장가격)","2003","전라남도",52730314
"지역내총생산(시장가격)","2003","경상북도",65372870
"지역내총생산(시장가격)","2003","경상남도",68827444
"지역내총생산(시장가격)","2003","제주특별자치도",9960579
"지역내총생산(시장가격)","2004","서울특별시",269197325
"지역내총생산(시장가격)","2004","부산광역시",61227100
"지역내총생산(시장가격)","2004","대구광역시",38364894
"지역내총생산(시장가격)","2004","인천광역시",54987798
"지역내총생산(시장가격)","2004","광주광역시",23198230
"지역내총생산(시장가격)","2004","대전광역시",27540951
"지역내총생산(시장가격)","2004","울산광역시",59706880
"지역내총생산(시장가격)","2004","경기도",208742156
"지역내총생산(시장가격)","2004","강원도",29386767
"지역내총생산(시장가격)","2004","충청북도",33573276
"지역내총생산(시장가격)","2004","충청남도",60583607
"지역내총생산(시장가격)","2004","전라북도",33844818
"지역내총생산(시장가격)","2004","전라남도",55586311
"지역내총생산(시장가격)","2004","경상북도",69948144
"지역내총생산(시장가격)","2004","경상남도",71667409
"지역내총생산(시장가격)","2004","제주특별자치도",10579746
"지역내총생산(시장가격)","2005","서울특별시",280676032
"지역내총생산(시장가격)","2005","부산광역시",63032743
"지역내총생산(시장가격)","2005","대구광역시",39039831
"지역내총생산(시장가격)","2005","인천광역시",56922112
"지역내총생산(시장가격)","2005","광주광역시",24953345
"지역내총생산(시장가격)","2005","대전광역시",28061744
"지역내총생산(시장가격)","2005","울산광역시",61626834
"지역내총생산(시장가격)","2005","경기도",222816035
"지역내총생산(시장가격)","2005","강원도",29695748
"지역내총생산(시장가격)","2005","충청북도",33307920
"지역내총생산(시장가격)","2005","충청남도",66603884
"지역내총생산(시장가격)","2005","전라북도",34414457
"지역내총생산(시장가격)","2005","전라남도",56104942
"지역내총생산(시장가격)","2005","경상북도",74596282
"지역내총생산(시장가격)","2005","경상남도",76018607
"지역내총생산(시장가격)","2005","제주특별자치도",10530282
"지역내총생산(시장가격)","2006","서울특별시",292392945
"지역내총생산(시장가격)","2006","부산광역시",65299325
"지역내총생산(시장가격)","2006","대구광역시",40255437
"지역내총생산(시장가격)","2006","인천광역시",59522631
"지역내총생산(시장가격)","2006","광주광역시",26193910
"지역내총생산(시장가격)","2006","대전광역시",29074607
"지역내총생산(시장가격)","2006","울산광역시",62869561
"지역내총생산(시장가격)","2006","경기도",242756988
"지역내총생산(시장가격)","2006","강원도",31550828
"지역내총생산(시장가격)","2006","충청북도",36176510
"지역내총생산(시장가격)","2006","충청남도",72238019
"지역내총생산(시장가격)","2006","전라북도",36053645
"지역내총생산(시장가격)","2006","전라남도",57944653
"지역내총생산(시장가격)","2006","경상북도",77440727
"지역내총생산(시장가격)","2006","경상남도",80266127
"지역내총생산(시장가격)","2006","제주특별자치도",10740812
"지역내총생산(시장가격)","2007","서울특별시",309525926
"지역내총생산(시장가격)","2007","부산광역시",68944140
"지역내총생산(시장가격)","2007","대구광역시",42074727
"지역내총생산(시장가격)","2007","인천광역시",64675503
"지역내총생산(시장가격)","2007","광주광역시",27392264
"지역내총생산(시장가격)","2007","대전광역시",29906786
"지역내총생산(시장가격)","2007","울산광역시",65950587
"지역내총생산(시장가격)","2007","경기도",255550481
"지역내총생산(시장가격)","2007","강원도",32853097
"지역내총생산(시장가격)","2007","충청북도",38575637
"지역내총생산(시장가격)","2007","충청남도",76413497
"지역내총생산(시장가격)","2007","전라북도",37890302
"지역내총생산(시장가격)","2007","전라남도",61058914
"지역내총생산(시장가격)","2007","경상북도",83621419
"지역내총생산(시장가격)","2007","경상남도",85284496
"지역내총생산(시장가격)","2007","제주특별자치도",11335159
"지역내총생산(시장가격)","2008","서울특별시",317128072
"지역내총생산(시장가격)","2008","부산광역시",70785024
"지역내총생산(시장가격)","2008","대구광역시",42614503
"지역내총생산(시장가격)","2008","인천광역시",64033773
"지역내총생산(시장가격)","2008","광주광역시",27791206
"지역내총생산(시장가격)","2008","대전광역시",30273625
"지역내총생산(시장가격)","2008","울산광역시",64401338
"지역내총생산(시장가격)","2008","경기도",268221081
"지역내총생산(시장가격)","2008","강원도",33674653
"지역내총생산(시장가격)","2008","충청북도",37908674
"지역내총생산(시장가격)","2008","충청남도",80523469
"지역내총생산(시장가격)","2008","전라북도",39294329
"지역내총생산(시장가격)","2008","전라남도",61841218
"지역내총생산(시장가격)","2008","경상북도",86102708
"지역내총생산(시장가격)","2008","경상남도",89539592
"지역내총생산(시장가격)","2008","제주특별자치도",11450325
"지역내총생산(시장가격)","2009","서울특별시",321873162
"지역내총생산(시장가격)","2009","부산광역시",68336815
"지역내총생산(시장가격)","2009","대구광역시",41429265
"지역내총생산(시장가격)","2009","인천광역시",63153061
"지역내총생산(시장가격)","2009","광주광역시",27180608
"지역내총생산(시장가격)","2009","대전광역시",31068315
"지역내총생산(시장가격)","2009","울산광역시",63392764
"지역내총생산(시장가격)","2009","경기도",273835863
"지역내총생산(시장가격)","2009","강원도",33976932
"지역내총생산(시장가격)","2009","충청북도",40008263
"지역내총생산(시장가격)","2009","충청남도",82604137
"지역내총생산(시장가격)","2009","전라북도",39655937
"지역내총생산(시장가격)","2009","전라남도",61529089
"지역내총생산(시장가격)","2009","경상북도",85724356
"지역내총생산(시장가격)","2009","경상남도",92664822
"지역내총생산(시장가격)","2009","제주특별자치도",12158772
"지역내총생산(시장가격)","2010","서울특별시",333249300
"지역내총생산(시장가격)","2010","부산광역시",71968834
"지역내총생산(시장가격)","2010","대구광역시",44114977
"지역내총생산(시장가격)","2010","인천광역시",69301148
"지역내총생산(시장가격)","2010","광주광역시",30457831
"지역내총생산(시장가격)","2010","대전광역시",33247905
"지역내총생산(시장가격)","2010","울산광역시",66254235
"지역내총생산(시장가격)","2010","경기도",300716256
"지역내총생산(시장가격)","2010","강원도",35452559
"지역내총생산(시장가격)","2010","충청북도",43503412
"지역내총생산(시장가격)","2010","충청남도",92056862
"지역내총생산(시장가격)","2010","전라북도",41674930
"지역내총생산(시장가격)","2010","전라남도",67644440
"지역내총생산(시장가격)","2010","경상북도",92044050
"지역내총생산(시장가격)","2010","경상남도",98297235
"지역내총생산(시장가격)","2010","제주특별자치도",12380394
"지역내총생산(시장가격)","2011","서울특별시",343756313
"지역내총생산(시장가격)","2011","부산광역시",73792908
"지역내총생산(시장가격)","2011","대구광역시",45657599
"지역내총생산(시장가격)","2011","인천광역시",70536942
"지역내총생산(시장가격)","2011","광주광역시",31011787
"지역내총생산(시장가격)","2011","대전광역시",34446444
"지역내총생산(시장가격)","2011","울산광역시",71517190
"지역내총생산(시장가격)","2011","경기도",313748238
"지역내총생산(시장가격)","2011","강원도",36296644
"지역내총생산(시장가격)","2011","충청북도",46066868
"지역내총생산(시장가격)","2011","충청남도",98515870
"지역내총생산(시장가격)","2011","전라북도",43285951
