"시점","행정구역별",데이터
"2004","강원도",852116
"2004","충청북도",817384
"2004","충청남도",1415892
"2004","전라북도",796940
"2004","전라남도",845210
"2004","경상북도",1404386
"2004","경상남도",1841713
"2004","제주특별자치도",405723
"2005","서울특별시",10011732
"2005","부산광역시",2265338
"2005","대구광역시",1523228
"2005","인천광역시",1739789
"2005","광주광역시",773481
"2005","대전광역시",919761
"2005","울산광역시",836498
"2005","경기도",8968594
"2005","강원도",889301
"2005","충청북도",828296
"2005","충청남도",1419212
"2005","전라북도",834923
"2005","전라남도",921700
"2005","경상북도",1583213
"2005","경상남도",2061172
"2005","제주특별자치도",401121
"2006","서울특별시",11306413
"2006","부산광역시",2579279
"2006","대구광역시",1659771
"2006","인천광역시",1945257
"2006","광주광역시",885554
"2006","대전광역시",1080507
"2006","울산광역시",943585
"2006","경기도",10720678
"2006","강원도",1055398
"2006","충청북도",1041159
"2006","충청남도",1551017
"2006","전라북도",915356
"2006","전라남도",1060644
"2006","경상북도",1798727
"2006","경상남도",2316613
"2006","제주특별자치도",433744
"2007","서울특별시",11885828
"2007","부산광역시",2580854
"2007","대구광역시",1598148
"2007","인천광역시",2207214
"2007","광주광역시",877200
"2007","대전광역시",1022282
"2007","울산광역시",1040105
"2007","경기도",11465307
"2007","강원도",1097950
"2007","충청북도",1077314
"2007","충청남도",1649345
"2007","전라북도",1015355
"2007","전라남도",1127642
"2007","경상북도",1867464
"2007","경상남도",2565187
"2007","제주특별자치도",447094
"2008","서울특별시",12537671
"2008","부산광역시",2594052
"2008","대구광역시",1627708
"2008","인천광역시",2321260
"2008","광주광역시",901716
"2008","대전광역시",1064934
"2008","울산광역시",1127065
"2008","경기도",11723657
"2008","강원도",1074505
"2008","충청북도",1102913
"2008","충청남도",1739467
"2008","전라북도",1126645
"2008","전라남도",1248968
"2008","경상북도",1915009
"2008","경상남도",2929103
"2008","제주특별자치도",445059
"2009","서울특별시",11922706
"2009","부산광역시",2739707
"2009","대구광역시",1573443
"2009","인천광역시",2360091
"2009","광주광역시",976111
"2009","대전광역시",1000099
"2009","울산광역시",1060227
"2009","경기도",11905905
"2009","강원도",1065003
"2009","충청북도",1094931
"2009","충청남도",1793495
"2009","전라북도",1091309
"2009","전라남도",1288287
"2009","경상북도",2001834
"2009","경상남도",2880091
"2009","제주특별자치도",414551
"2010","서울특별시",12074840
"2010","부산광역시",3062239
"2010","대구광역시",1818648
"2010","인천광역시",2428823
"2010","광주광역시",1077114
"2010","대전광역시",1162679
"2010","울산광역시",1230508
"2010","경기도",12876723
"2010","강원도",1222509
"2010","충청북도",1310314
"2010","충청남도",2097037
"2010","전라북도",1287562
"2010","전라남도",1434292
"2010","경상북도",2220366
"2010","경상남도",3334664
"2010","제주특별자치도",521487
"2011","서울특별시",12913964
"2011","부산광역시",3352687
"2011","대구광역시",1924374
"2011","인천광역시",2790176
"2011","광주광역시",1137184
"2011","대전광역시",1332664
"2011","울산광역시",1375029
"2011","경기도",12957501
"2011","강원도",1272268
"2011","충청북도",1371252
"2011","충청남도",2297542
"2011","전라북도",1407180
"2011","전라남도",1580286
"2011","경상북도",2397531
"2011","경상남도",3609075
"2011","제주특별자치도",581431
"2012","서울특별시",13436966
"2012","부산광역시",3386162
"2012","대구광역시",2073421
"2012","인천광역시",2754954
"2012","광주광역시",1202985
"2012","대전광역시",1320566
"2012","울산광역시",1493288
"2012","세종특별자치시",119099
"2012","경기도",13288767
"2012","강원도",1344637
"2012","충청북도",1443528
"2012","충청남도",2307243
"2012","전라북도",1456057
"2012","전라남도",1622293
"2012","경상북도",2499249
"2012","경상남도",3504746
"2012","제주특별자치도",684103
"2013","서울특별시",12980600
"2013","부산광역시",3401445
"2013","대구광역시",2148115
"2013","인천광역시",2855673
"2013","광주광역시",1220622
"2013","대전광역시",1258482
"2013","울산광역시",1413522
"2013","세종특별자치시",216598
"2013","경기도",13301235
"2013","강원도",1330566
"2013","충청북도",1431512
"2013","충청남도",2226001
"2013","전라북도",1457454
"2013","전라남도",1599464
"2013","경상북도",2563701
"2013","경상남도",3605279
"2013","제주특별자치도",768612
"2014","서울특별시",14502519
"2014","부산광역시",3973205
"2014","대구광역시",2591818
"2014","인천광역시",3220968
"2014","광주광역시",1428496
"2014","대전광역시",1549395
"2014","울산광역시",1611003
"2014","세종특별자치시",386816
"2014","경기도",15216198
"2014","강원도",1473843
"2014","충청북도",1684169
"2014","충청남도",2624962
"2014","전라북도",1641746
"2014","전라남도",1751096
"2014","경상북도",2963881
"2014","경상남도",4195428
"2014","제주특별자치도",909470
"2015","서울특별시",17038835
"2015","부산광역시",4784818
"2015","대구광역시",2862891
"2015","인천광역시",3727717
"2015","광주광역시",1553789
"2015","대전광역시",1626744
"2015","울산광역시",1760321
"2015","세종특별자치시",512028
"2015","경기도",17885557
"2015","강원도",1594058
"2015","충청북도",1884993
"2015","충청남도",2836473
"2015","전라북도",1796926
"2015","전라남도",2002617
"2015","경상북도",3450733
"2015","경상남도",4535227
"2015","제주특별자치도",1124068
"2016","서울특별시",18024176
"2016","부산광역시",4625095
"2016","대구광역시",2979772
"2016","인천광역시",4028661
"2016","광주광역시",1678987
"2016","대전광역시",1683926
"2016","울산광역시",1945369
"2016","세종특별자치시",499626
