,년도,시도,총 인구,남성 인구,여성 인구,부채,자산(만원),농가수,어가수,백화점판매액,대형소매점,예금은행대출금액,예금액,지방세
155,2022,대구광역시,2363691,1162865,1200826,8474.0,44547.0,,,2625615.0,4404555.0,,,
156,2022,인천광역시,2967314,1485175,1482139,9566.0,49475.0,,,,2590578.0,,,
157,2022,광주광역시,1431050,707299,723751,6898.0,42690.0,,,1098620.0,1857223.0,,,
158,2022,대전광역시,1446072,721245,724827,7959.0,50033.0,,,1903531.0,2940610.0,,,
159,2022,울산광역시,1110663,570368,540295,6894.0,46023.0,,,765342.0,1595651.0,,,
160,2022,세종특별자치시,383591,191389,192202,14082.0,79274.0,,,0.0,525593.0,,,
161,2022,경기도,13589432,6839276,6750156,11863.0,63959.0,,,7352841.0,18397065.0,,,
162,2022,강원도,1536498,772947,763551,5370.0,36990.0,,,,1109853.0,,,
163,2022,충청북도,1595058,810782,784276,5913.0,35099.0,,,,1078527.0,,,
164,2022,충청남도,2123037,1086632,1036405,5978.0,33762.0,,,,1793506.0,,,
165,2022,전라북도,1769607,880592,889015,5618.0,36616.0,,,,1074215.0,,,
166,2022,전라남도,1817697,915272,902425,5088.0,33152.0,,,,791852.0,,,
167,2022,경상북도,2600492,1311881,1288611,5543.0,35065.0,,,,1402677.0,,,
168,2022,경상남도,3280493,1651675,1628818,6594.0,38954.0,,,957990.0,2782181.0,,,
169,2022,제주특별자치도,678159,339590,338569,7227.0,57466.0,,,,545983.0,,,
