시군구,년도,전출인구,출생아수,산부인과의원수,초등학교수,cluster_id,pred_cluster
관악구,2017,94943,2931,20,22,0.0,0.07795032897087362
관악구,2018,96477,2582,20,22,0.0,0.05832998332771622
관악구,2019,95788,2245,20,22,0.0,0.06943213245027224
관악구,2020,103226,1905,21,22,0.0,-0.03150774461708483
관악구,2021,95711,1707,21,22,0.0,0.07345797541794807
서초구,2013,76974,4081,26,24,0.33,0.32723908142997793
서초구,2014,74512,4135,24,24,0.33,0.36014593100264003
서초구,2015,83320,4078,24,24,0.33,0.23846069311421747
서초구,2016,74319,3629,25,24,0.33,0.3656294414457453
서초구,2017,76574,3039,23,24,0.33,0.3362142641631505
서초구,2018,83489,2919,24,24,0.33,0.24149531133924995
서초구,2019,67634,2512,26,24,0.33,0.46383006222254153
서초구,2020,77669,2238,29,24,0.33,0.32755775764792006
서초구,2021,81777,2163,36,24,0.33,0.2742836836212803
강남구,2013,100020,4551,46,31,0.0,0.025937915682723744
강남구,2014,104412,4654,48,31,0.0,-0.0344184319027514
강남구,2015,114523,4595,52,33,0.0,-0.16922977427441666
강남구,2016,108949,4122,52,33,0.0,-0.08986259447855627
강남구,2017,103367,3456,56,33,0.0,-0.007629848764239444
강남구,2018,106802,2940,55,33,0.0,-0.053260693536862025
강남구,2019,93716,2749,53,33,0.0,0.12787491499949089
강남구,2020,101582,2356,49,33,0.0,0.018930224297436737
강남구,2021,98106,2204,51,33,0.0,0.06869131235492243
송파구,2013,108855,5963,24,37,0.0,-0.10402649070430603
송파구,2014,107490,6001,25,38,0.0,-0.08331626728112318
송파구,2015,111346,5899,21,38,0.0,-0.13809065054038472
송파구,2016,112735,5500,21,39,0.0,-0.15394894689663907
송파구,2017,107154,4976,23,39,0.0,-0.07331843930043935
송파구,2018,101486,4567,25,39,0.0,0.007983336679634467
송파구,2019,116301,4424,24,40,0.0,-0.19541426460162703
송파구,2020,116457,3791,24,40,0.0,-0.1946388072398071
송파구,2021,113651,3469,25,40,0.0,-0.1538307209837182
강동구,2013,75508,4070,20,26,0.33,0.34784282034050884
강동구,2014,75575,4089,20,26,0.33,0.34682707789052936
강동구,2015,94194,3865,21,26,0.0,0.09054479459877696
강동구,2016,84535,3293,19,26,0.33,0.22599926084254318
강동구,2017,90819,2968,18,27,0.0,0.1415600274863602
강동구,2018,68933,2659,17,27,0.33,0.44554657316892543
강동구,2019,67292,2437,17,27,0.33,0.4692961903014161
강동구,2020,78271,2535,17,28,0.33,0.318356627107633
강동구,2021,74444,2810,19,29,0.33,0.3725199710605943
