"행정구역(시군구)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"강릉시",77753,78910,80043,82020,83086,84259,85372,86364,86939,87636,89984,90090,91332,92412,93007,93774,94781,95963,96859,99086,101424,102879,103352
"동해시",34200,34845,35436,36092,36445,36713,36760,37204,37512,38053,38932,39411,39002,40093,40208,40338,40468,40730,40784,41141,42306,42916,43251
"태백시",19042,19467,19722,19870,20141,20320,20386,20843,21131,21182,22292,22230,22258,22204,22352,22293,22265,21889,21832,21798,21588,20731,20324
"속초시",32019,32782,33258,33848,34012,34484,34921,35291,35615,35787,36671,36579,36745,36946,37032,37084,37193,37772,37993,38689,39932,40706,41193
"삼척시",27655,27523,27510,27748,27947,28277,28366,28681,29736,31233,32482,33388,34066,35362,35204,34601,34147,33863,34227,34082,33635,33184,33715
"홍천군",24930,25585,25666,25809,26896,26997,27197,27776,28486,28707,29280,29648,29894,30885,31183,31443,31851,32467,32760,33142,34187,34237,34510
"횡성군",15149,15406,15722,15852,16386,16704,16883,17529,17942,18491,18960,19160,19461,19960,20348,20821,21283,21777,22411,22832,23276,23593,23767
"영월군",17068,18003,16983,17004,16733,16830,16834,17195,17529,17945,18505,18668,18881,19111,19597,19990,20255,20715,21011,21044,21246,21143,21288
"평창군",16251,16523,16971,17881,17707,18021,18226,18499,18712,19027,19392,19569,19783,20030,20279,20601,20745,21008,21172,21379,21618,21665,21927
"정선군",17570,17568,18182,18145,18314,18382,18294,18114,18292,18417,19210,18968,19058,19330,19347,19519,19571,19554,19761,19974,20230,19713,19533
"철원군",17351,17331,17127,17765,18025,18087,18016,18097,18756,18889,20316,19970,19975,19835,20337,22017,21778,21583,21451,21216,21182,20862,20605
"화천군",8950,9040,8889,9784,9796,9731,9754,9764,10813,11038,11370,11716,11686,11734,13474,13668,13207,13065,12564,12603,12862,12556,12114
