시도,활동,신생,소멸,상용_월평균_임금,임금상승률,"협회 및 단체, 수리 및 기타 개인서비스업_활동","협회 및 단체, 수리 및 기타 개인서비스업_신생","협회 및 단체, 수리 및 기타 개인서비스업_소멸","예술, 스포츠 및 여가관련 서비스업_활동","예술, 스포츠 및 여가관련 서비스업_신생","예술, 스포츠 및 여가관련 서비스업_소멸",보건업 및 사회복지 서비스업_활동,보건업 및 사회복지 서비스업_신생,보건업 및 사회복지 서비스업_소멸,교육서비스업_활동,교육서비스업_신생,교육서비스업_소멸,"사업 시설관리, 사업지원 및 임대 서비스업_활동","사업 시설관리, 사업지원 및 임대 서비스업_신생","사업 시설관리, 사업지원 및 임대 서비스업_소멸","전문, 과학 및 기술서비스업_활동","전문, 과학 및 기술서비스업_신생","전문, 과학 및 기술서비스업_소멸",부동산업_활동,부동산업_신생,부동산업_소멸,금융 및 보험업_활동,금융 및 보험업_신생,금융 및 보험업_소멸,정보통신업_활동,정보통신업_신생,정보통신업_소멸,숙박 및 음식점업_활동,숙박 및 음식점업_신생,숙박 및 음식점업_소멸,운수 및 창고업_활동,운수 및 창고업_신생,운수 및 창고업_소멸,도매 및 소매업_활동,도매 및 소매업_신생,도매 및 소매업_소멸,건설업_활동,건설업_신생,건설업_소멸,"수도, 하수 및 폐기물처리, 원료재생업_활동","수도, 하수 및 폐기물처리, 원료재생업_신생","수도, 하수 및 폐기물처리, 원료재생업_소멸","전기, 가스, 증기 및 공기조절 공급업_활동","전기, 가스, 증기 및 공기조절 공급업_신생","전기, 가스, 증기 및 공기조절 공급업_소멸",제조업_활동,제조업_신생,제조업_소멸,광업_활동,광업_신생,광업_소멸
부산광역시,383012,52489,42679,2620611.0,2.4,18101,2361,1992,6687,1023,1070,5172,339,208,9052,1729,1366,7170,1453,1018,8477,1290,816,68962,11612,7754,1319,194,222,2440,506,341,51915,10162,9207,49669,3128,2548,96928,13133,11760,20603,2414,1664,483,36,31,85,18,4,35937,3090,2678,12,1,0
대구광역시,264637,36758,28626,2415995.0,2.7,11861,1700,1302,5083,867,809,3842,209,98,7219,1364,973,4472,908,669,5460,702,423,43894,6671,4461,841,125,128,1738,332,228,35780,7356,6379,29742,2232,1831,67697,9664,8264,15450,1844,1062,343,18,18,168,49,3,31041,2717,1978,6,0,0
인천광역시,282700,44950,35241,2723424.0,3.3,12893,2181,1553,6198,1404,1203,3381,266,147,6619,1403,1013,5221,1259,910,5151,869,550,57073,8758,5802,793,180,166,2272,514,339,38722,8679,7579,27038,2789,2219,67454,11394,9543,17860,2470,1763,555,50,45,102,32,6,31343,2698,2400,25,4,3
광주광역시,144550,23653,18533,2562254.0,2.8,7989,1345,1030,3329,729,653,2256,192,116,5102,882,693,2804,497,362,3354,535,294,22964,3956,2651,479,63,69,1012,167,116,21736,5196,4443,11904,1195,1202,39793,6342,5265,11185,1276,769,179,12,18,539,214,11,9906,1050,836,19,2,5
대전광역시,156767,23243,19038,2857131.0,1.9,8196,1186,935,3746,778,749,2411,161,115,4783,826,793,2935,584,462,3603,534,353,29275,4228,3059,475,100,79,1668,349,222,23201,5147,4461,15998,1165,854,40471,6128,5513,10209,1126,748,138,8,6,96,16,3,9554,904,685,8,3,1
울산광역시,113449,17572,14010,3084932.0,4.5,5676,798,569,2611,449,439,1423,97,52,3590,697,546,2524,614,431,3211,478,418,18520,2784,2011,262,48,53,449,115,61,19883,4347,3670,12395,933,684,24283,3714,3188,8720,1008,656,234,25,12,56,20,3,9597,1443,1214,15,2,3
세종특별자치시,17699,4839,2099,0.0,0.0,620,142,62,321,112,59,204,60,7,541,262,104,284,85,45,366,96,39,5020,1970,567,16,5,3,128,39,22,2706,841,468,1570,145,99,3126,712,422,1463,179,108,43,4,2,61,23,2,1223,164,90,7,0,0
경기도,1341782,204842,157360,2853670.0,2.5,56755,9248,6834,25861,5491,4583,14971,1163,687,35021,7200,5418,23107,5288,3709,27892,4554,2966,306809,45496,31695,2970,634,562,15728,3230,2142,162938,34802,30364,132496,11970,7791,298481,49285,41558,76971,10526,7047,2318,167,160,899,309,36,158467,15470,11797,98,9,11
강원도,164455,22499,18375,2569139.0,3.4,8994,1150,925,3617,655,581,1695,117,73,4139,759,604,2593,488,357,2605,323,234,24036,3444,2621,327,84,56,730,125,94,36554,6526,5620,12638,864,673,39534,5570,4894,17828,1351,894,391,15,29,447,199,9,8167,824,693,160,5,18
충청북도,168344,24341,19385,2631387.0,3.8,8277,1137,886,3524,733,605,1822,131,86,4292,782,690,2997,658,474,2597,328,241,26009,3990,2949,324,58,43,709,132,97,28579,5724,4880,17847,1466,1044,40081,5944,5305,15654,1360,886,456,34,22,822,320,19,14273,1537,1148,81,7,10
충청남도,210211,32105,24934,2937394.0,3.4,10693,1478,1137,3978,884,753,2393,161,106,4787,983,755,3785,896,643,3190,443,265,31714,5019,3790,379,100,76,817,166,112,36731,7291,6330,19684,2046,1325,51735,7772,6657,19329,1788,1262,514,27,34,1470,853,34,18888,2181,1638,124,17,17
전라북도,182152,26835,20187,2547426.0,3.5,9239,1294,942,3113,659,525,2491,177,103,5113,881,626,2894,578,365,3078,410,252,23324,3578,2752,330,61,56,713,134,105,28118,5901,4893,20265,1479,1086,48641,7183,6085,16831,1494,1081,380,29,18,4726,1513,140,12814,1458,1150,82,6,8
전라남도,176148,26138,19336,2856750.0,2.8,8543,1223,931,2840,558,487,2009,144,95,3823,802,602,2222,446,304,2551,369,211,18461,3283,2407,256,51,48,619,124,78,31183,6152,4984,21794,1464,1107,46260,6819,5536,18312,1490,979,483,38,30,3032,1422,93,13119,1674,1354,641,79,90
경상북도,275538,38942,30485,2776589.0,2.7,13782,1791,1324,5103,919,809,2804,211,116,6440,1104,858,4582,1065,799,3839,479,301,33908,5161,3875,466,95,74,1004,185,117,49478,9639,8167,29489,2339,1663,65642,9675,7918,25381,2106,1419,802,75,54,1222,539,24,31414,3544,2947,182,15,20
경상남도,349440,51539,42977,2765647.0,3.3,16504,2284,1816,5738,1050,1027,3735,257,175,9524,1794,1584,6565,1994,1132,7184,1070,767,50452,8314,5879,699,135,148,1198,193,161,61799,12349,10775,31519,2252,1720,79950,11822,11073,26338,2457,1684,807,58,60,732,254,15,46603,5249,4953,93,7,8
제주특별자치도,70949,11994,8216,2293505.0,2.2,3510,453,351,1478,217,208,820,67,45,1837,387,243,1767,361,234,1254,199,100,10298,2236,1210,135,28,23,402,75,37,15960,3734,2737,7074,541,381,16853,2526,2104,6551,762,362,92,5,6,238,123,4,2665,280,171,15,0,0
서울특별시,1289357,185666,133687,3364470.0,3.2,50583,7724,5667,26630,6376,4293,18974,1354,899,30685,5325,4121,26852,4357,2931,60948,10121,5780,336536,44013,27238,11734,2058,1491,42162,7096,4354,143334,26898,23953,83941,12221,6350,322127,44997,36901,59172,6297,4177,512,38,32,293,43,12,74827,6743,5482,47,5,6
부산광역시,392807,53972,41256,2694140.0,2.8,18839,2808,2061,7194,1627,1122,5265,334,196,9172,1531,1271,7643,1515,988,9035,1388,893,71932,10997,6964,1311,219,197,2576,478,354,53053,10641,9305,49861,3032,2488,98543,13686,11193,21729,2637,1608,493,39,27,89,9,7,36061,3031,2580,11,0,2
대구광역시,273432,38815,28203,2472297.0,2.3,12523,1973,1358,5626,1375,869,3966,247,139,7682,1436,1077,4751,958,635,5780,755,469,46658,7389,4198,843,158,126,1820,331,197,37096,7853,6682,29718,1960,1507,69134,10049,8015,16032,1872,1067,344,26,14,188,18,8,31262,2413,1838,9,2,4
인천광역시,296108,49099,34913,2839944.0,4.3,13907,2556,1716,7071,2102,1411,3457,257,145,6927,1341,1044,5606,1322,837,5604,961,593,61075,9972,5755,810,193,169,2548,569,394,39632,8660,7634,28259,3597,1963,69886,12107,9364,19124,2767,1717,539,41,42,118,23,3,31525,2631,2125,20,0,1
광주광역시,149461,24604,17785,2630845.0,2.7,8453,1495,1018,3620,981,659,2340,206,117,5329,940,832,3031,574,373,3590,570,325,24662,4363,2590,501,105,68,1113,216,161,22252,5062,4433,11496,1233,768,40542,6228,4930,11531,1372,722,178,22,14,698,150,15,10108,1084,759,17,3,1
대전광역시,161327,24251,18835,2985356.0,4.5,8707,1445,991,4074,1082,774,2450,176,117,4738,777,754,3139,681,433,3878,644,330,30533,4393,2993,464,75,96,1799,363,229,23712,5066,4485,16190,1028,928,41085,6406,5243,10583,1174,791,140,7,8,112,20,4,9718,914,658,5,0,1
울산광역시,117345,18207,13848,3122883.0,1.2,6102,998,638,2828,667,474,1458,86,59,3665,628,479,2625,539,468,3301,537,521,19700,3141,1757,268,50,47,461,82,59,20601,4455,3764,12491,883,657,24777,3813,3091,9146,1038,670,241,21,18,60,8,1,9607,1259,1144,14,2,1
세종특별자치시,21233,5418,2395,0.0,0.0,749,176,83,517,257,97,246,51,12,664,209,123,338,88,38,439,99,38,6706,2221,673,32,16,7,185,48,28,3088,859,502,1676,212,98,3610,838,495,1559,186,99,45,3,2,75,16,5,1296,139,93,8,0,2
경기도,1412281,226929,152974,2970904.0,4.1,60640,10709,7115,29763,8560,5321,15625,1376,686,36753,7269,5381,25344,5816,3617,30533,5389,3106,327147,53511,29183,3093,686,567,17438,3535,2160,168288,36582,30543,137871,12777,7622,309949,52487,39626,83713,12159,7172,2361,195,154,1091,202,37,162575,15668,10676,97,8,8
강원도,170771,24542,18357,2727782.0,6.2,9361,1279,932,4030,961,657,1732,119,79,4266,733,622,2743,494,375,2736,356,207,25771,4283,2637,323,58,59,799,143,112,37948,7076,5864,12887,912,675,40143,5631,4669,18444,1346,782,389,26,18,690,246,19,8352,861,642,157,18,8
충청북도,174379,25381,19007,2774278.0,5.4,8687,1294,892,3909,1005,692,1871,140,80,4169,583,589,3203,659,467,2737,368,199,27434,4364,2809,347,62,86,781,158,113,29755,6045,5116,17999,1271,993,40803,6105,5008,16279,1420,859,474,37,31,1073,261,34,14779,1601,1029,79,8,10
충청남도,218770,33544,24237,3073036.0,4.6,11131,1575,1091,4396,1172,782,2442,164,111,4870,827,742,4057,913,595,3416,469,287,33726,5806,3486,362,63,61,901,184,109,37940,7653,6328,20276,1972,1270,52981,7956,6481,20146,1980,1221,525,50,33,1960,529,72,19524,2222,1554,117,9,14
전라북도,188930,27466,20148,2616967.0,2.7,9676,1387,941,3534,959,605,2551,172,102,5340,885,755,3108,597,387,3314,470,240,24329,3731,2547,361,96,84,790,165,120,29199,6062,5008,20443,1481,1036,49735,7233,6001,17419,1760,1056,383,24,21,5578,1010,121,13088,1425,1112,82,9,12
전라남도,184172,27251,19962,2938553.0,2.9,8960,1362,903,3219,865,584,2058,149,84,3895,696,551,2382,452,311,2735,388,212,19834,3689,2313,245,44,54,680,123,78,32664,6527,5390,22559,1726,1098,47906,7205,5690,18870,1565,1002,486,33,26,3537,617,80,13449,1670,1459,693,140,127
경상북도,285833,40860,30602,2916120.0,5.0,14414,1944,1431,5568,1300,887,2867,178,119,6719,1132,1009,4865,1099,774,4128,561,313,36099,6025,3658,510,121,95,1145,231,140,51177,9964,8633,29804,2206,1465,67290,9740,7882,26499,2302,1358,830,76,53,1589,390,44,32149,3574,2727,180,17,14
경상남도,360481,54359,41010,2889391.0,4.5,17326,2630,1862,6449,1733,1048,3842,302,173,9668,1782,1370,7687,2191,1469,7878,1378,896,53796,9152,5296,686,144,128,1251,202,136,63963,13130,11232,32141,2241,1594,80717,12066,9490,27187,2480,1651,802,48,43,914,186,27,46086,4690,4587,88,4,8
제주특별자치도,79309,16050,9030,2389239.0,4.2,3724,548,376,1643,367,211,868,86,33,1987,380,288,1902,352,231,1492,271,134,14131,4862,1603,150,34,19,467,88,56,17412,4255,2980,7274,576,382,17610,2886,2070,7450,980,435,104,17,4,261,25,3,2819,323,205,15,0,0
서울특별시,1341759,194876,151234,3445867.0,2.4,52120,7521,6267,28086,6008,4603,19182,1292,825,32062,5647,4492,28722,4998,3342,65134,10475,6121,363579,54964,36475,12278,1919,1457,44624,7186,4502,144197,25921,23492,88457,11547,11543,326251,44574,38271,61125,6343,4199,511,36,31,353,62,16,75034,6380,5597,44,3,1
