"지역별(1)","시점",합계,응급,응급,응급,응급,응급,응급,응급,응급,응급,응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,비응급,미상/미입력
"지역별(1)","시점",계,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계,119구급차,의료기관구급차,기타구급차,경찰차등공공차량,항공이송,기타자동차,도보,기타,미상/미입력,계
"전남","2020",105867,91863,20198,786,4459,161,260,65769,136,77,17,14004,1092,38,122,33,9,12597,12,99,2,-
"전남","2021",103722,90565,21639,733,4320,142,292,63134,198,81,26,13157,956,34,116,31,6,11919,12,68,15,-
"경북","2014",270572,218889,35186,4305,4313,280,399,165030,9060,276,40,51683,3268,505,576,111,10,44584,2479,122,28,-
"경북","2015",264354,221828,39764,4249,4722,317,434,170908,1257,155,22,42461,2653,356,511,104,4,38392,358,65,18,65
"경북","2016",267845,210527,38615,3848,5233,258,392,161561,397,207,16,57317,3965,207,498,119,7,52094,81,46,300,1
"경북","2017",259858,201196,40194,2560,6550,240,378,150939,209,117,9,58660,4154,365,451,118,7,53316,42,12,195,2
"경북","2018",265999,213202,43898,1799,7193,282,421,159363,181,59,6,52790,4175,150,329,105,8,47950,42,2,29,7
"경북","2019",257419,203404,44006,1460,7190,255,436,149892,112,37,16,54012,4469,117,438,82,31,48825,44,6,-,3
"경북","2020",195905,153681,39413,1148,5484,237,235,106999,122,37,6,42224,3625,73,308,64,4,38108,40,2,-,-
"경북","2021",209135,163547,42225,1080,5175,208,227,114325,171,127,9,45584,4323,290,315,51,3,40563,30,9,-,4
"경남","2014",268871,183659,23195,5117,7246,188,88,145426,1568,348,483,85212,4889,222,546,64,46,78042,730,149,524,-
"경남","2015",262941,180623,27585,4101,9053,223,82,138461,707,149,262,82317,4366,110,319,73,65,76745,325,31,283,1
"경남","2016",259531,157049,24621,3096,9268,208,79,119376,290,106,5,101186,6116,266,759,121,76,93524,178,29,117,1296
"경남","2017",273698,173304,29010,2307,11787,194,107,129474,309,110,6,100308,5798,177,542,224,73,93234,218,14,28,86
"경남","2018",287029,189332,32949,2008,13172,243,76,140345,412,118,9,97554,5699,150,606,147,36,90717,182,13,4,143
"경남","2019",273035,193354,34185,1669,12472,193,34,144355,319,121,6,79675,4746,89,650,77,23,73938,129,23,-,6
"경남","2020",213356,160951,33656,1310,10173,185,29,115177,301,116,4,52403,3627,40,521,44,16,47963,168,24,-,2
"경남","2021",217151,156404,38027,1079,9779,164,27,106531,646,136,15,60735,5594,50,633,88,13,54071,255,19,12,12
"제주","2014",140496,121617,23328,1796,330,206,188,95118,472,179,-,18879,1428,24,20,159,28,17124,78,18,-,-
"제주","2015",146865,133746,26271,1815,326,211,223,104303,383,213,1,13119,1027,22,20,139,20,11833,34,23,1,-
"제주","2016",166264,152181,28281,2128,384,238,270,120240,426,214,-,13941,978,24,24,134,11,12733,20,14,3,142
"제주","2017",167018,153770,30455,2214,416,239,213,118891,1060,279,3,13223,924,22,27,116,19,12032,58,20,5,25
"제주","2018",169260,157763,32256,2061,434,232,215,121626,727,211,1,11485,800,20,21,95,19,10473,31,13,13,12
"제주","2019",164427,152321,31276,1944,526,202,167,117327,719,156,4,12106,1084,7,33,53,7,10873,36,12,1,-
"제주","2020",128787,111909,25964,1491,520,187,146,82930,557,111,3,16869,2400,36,39,45,9,14248,83,8,1,9
"제주","2021",130005,123263,30541,1234,765,242,112,89723,519,125,2,6740,645,6,20,37,1,5975,53,2,1,2
