"행정구역별(1)","시간대별(1)","시점",공공의료시설,공공의료시설,병·의원,병·의원,종합병원,종합병원
"행정구역별(1)","시간대별(1)","시점",승용차,대중교통/도보,승용차,대중교통/도보,승용차,대중교통/도보
"강원도","낮시간(12-14시)","2020",8.01,25.91,5.89,20.99,21.04,49.21
"강원도","저녁첨두(18-20시)","2017",7.21,22.83,5.45,18.69,19.96,46.26
"강원도","저녁첨두(18-20시)","2018",7.29,27.36,5.56,24.85,20.55,51.43
"강원도","저녁첨두(18-20시)","2019",7.24,62.69,5.47,60.30,20.22,103.23
"강원도","저녁첨두(18-20시)","2020",7.84,29.73,5.85,25.20,20.56,53.43
"충청북도","일평균(06-20시)","2017",7.93,22.84,4.37,16.76,15.77,42.20
"충청북도","일평균(06-20시)","2018",7.91,20.99,4.40,15.17,15.56,38.45
"충청북도","일평균(06-20시)","2019",8.19,26.98,4.35,21.15,15.85,51.67
"충청북도","일평균(06-20시)","2020",7.81,21.39,4.64,14.48,15.86,37.47
"충청북도","오전첨두(07-09시)","2017",7.87,22.38,4.32,15.86,15.38,40.82
"충청북도","오전첨두(07-09시)","2018",7.81,20.57,4.34,14.65,15.43,37.67
"충청북도","오전첨두(07-09시)","2019",7.56,25.42,4.20,18.31,15.10,41.91
"충청북도","오전첨두(07-09시)","2020",7.83,21.56,4.63,14.41,15.70,37.31
"충청북도","낮시간(12-14시)","2017",7.92,22.94,4.38,17.05,15.85,42.06
"충청북도","낮시간(12-14시)","2018",7.90,21.36,4.42,16.03,15.62,39.16
"충청북도","낮시간(12-14시)","2019",8.27,26.51,4.38,19.85,15.99,51.46
"충청북도","낮시간(12-14시)","2020",7.93,22.17,4.71,15.37,16.10,39.20
"충청북도","저녁첨두(18-20시)","2017",8.21,22.87,4.47,16.65,16.22,42.22
"충청북도","저녁첨두(18-20시)","2018",8.09,23.55,4.49,18.42,15.68,41.28
"충청북도","저녁첨두(18-20시)","2019",8.36,41.57,4.41,47.27,15.99,81.90
"충청북도","저녁첨두(18-20시)","2020",7.85,24.09,4.69,18.35,15.86,41.89
"충청남도","일평균(06-20시)","2017",6.88,21.93,5.45,20.68,17.27,48.61
"충청남도","일평균(06-20시)","2018",6.69,20.44,5.38,19.26,16.76,44.21
"충청남도","일평균(06-20시)","2019",6.79,30.71,5.57,31.08,17.03,66.10
"충청남도","일평균(06-20시)","2020",7.21,20.57,5.76,18.53,17.25,42.52
"충청남도","오전첨두(07-09시)","2017",6.77,21.25,5.40,19.66,16.95,46.95
"충청남도","오전첨두(07-09시)","2018",6.58,20.11,5.21,18.32,16.46,43.03
"충청남도","오전첨두(07-09시)","2019",6.46,25.90,5.25,24.65,16.24,54.87
"충청남도","오전첨두(07-09시)","2020",7.13,20.47,5.68,18.16,17.14,41.95
"충청남도","낮시간(12-14시)","2017",6.92,21.87,5.48,21.18,17.36,48.31
"충청남도","낮시간(12-14시)","2018",6.71,20.93,5.35,20.22,16.73,45.69
"충청남도","낮시간(12-14시)","2019",6.85,29.88,5.47,30.97,16.97,65.94
"충청남도","낮시간(12-14시)","2020",7.33,21.19,5.80,19.51,17.36,44.15
"충청남도","저녁첨두(18-20시)","2017",7.04,22.13,5.65,20.56,17.81,48.32
"충청남도","저녁첨두(18-20시)","2018",6.75,23.08,5.50,23.46,17.00,49.42
"충청남도","저녁첨두(18-20시)","2019",7.11,45.20,6.53,55.72,18.09,104.35
"충청남도","저녁첨두(18-20시)","2020",7.28,23.05,5.83,22.23,17.32,46.91
"전라북도","일평균(06-20시)","2017",8.22,22.10,4.52,16.08,15.69,40.51
"전라북도","일평균(06-20시)","2018",7.95,18.80,4.48,14.79,15.58,34.68
"전라북도","일평균(06-20시)","2019",8.11,26.47,4.91,23.52,16.28,50.68
"전라북도","일평균(06-20시)","2020",8.44,19.63,4.77,14.95,16.01,35.13
"전라북도","오전첨두(07-09시)","2017",7.90,22.03,4.50,15.48,15.31,39.98
"전라북도","오전첨두(07-09시)","2018",7.89,18.70,4.39,14.65,15.35,34.47
"전라북도","오전첨두(07-09시)","2019",7.73,24.69,4.44,19.42,15.40,44.39
"전라북도","오전첨두(07-09시)","2020",8.37,19.93,4.70,15.21,15.89,35.22
"전라북도","낮시간(12-14시)","2017",8.40,21.89,4.55,16.45,15.84,40.47
"전라북도","낮시간(12-14시)","2018",7.99,19.35,4.48,15.67,15.63,35.81
"전라북도","낮시간(12-14시)","2019",8.14,27.03,4.93,25.00,16.35,51.92
"전라북도","낮시간(12-14시)","2020",8.55,20.09,4.82,16.03,16.20,37.03
"전라북도","저녁첨두(18-20시)","2017",8.45,21.97,4.67,15.64,16.17,40.45
"전라북도","저녁첨두(18-20시)","2018",7.99,19.96,4.57,17.55,15.80,37.75
"전라북도","저녁첨두(18-20시)","2019",8.24,37.04,5.90,46.15,17.32,78.88
"전라북도","저녁첨두(18-20시)","2020",8.49,21.70,4.86,19.53,16.11,40.06
"전라남도","일평균(06-20시)","2017",7.62,24.50,6.94,23.13,22.39,52.55
"전라남도","일평균(06-20시)","2018",7.17,22.52,6.45,23.57,21.92,49.26
"전라남도","일평균(06-20시)","2019",7.33,30.55,9.06,35.01,25.53,67.70
"전라남도","일평균(06-20시)","2020",7.86,22.26,7.37,21.39,22.22,45.73
"전라남도","오전첨두(07-09시)","2017",7.48,25.02,6.81,22.21,22.24,52.85
"전라남도","오전첨두(07-09시)","2018",6.99,21.59,6.07,21.56,21.51,47.36
"전라남도","오전첨두(07-09시)","2019",6.98,24.44,7.54,24.63,23.25,52.41
"전라남도","오전첨두(07-09시)","2020",7.76,21.72,7.12,20.66,21.99,44.45
"전라남도","낮시간(12-14시)","2017",7.66,25.00,7.00,25.06,22.38,53.79
"전라남도","낮시간(12-14시)","2018",7.14,22.82,6.37,24.24,21.83,50.06
"전라남도","낮시간(12-14시)","2019",7.20,30.46,7.99,32.78,24.40,64.94
"전라남도","낮시간(12-14시)","2020",7.90,23.71,7.43,23.09,22.51,47.79
"전라남도","저녁첨두(18-20시)","2017",7.98,25.89,7.75,25.66,23.15,53.92
