"시점","시도별(1)",합계,합계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과개방,정신과개방,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시점","시도별(1)",소계,소계,소계,소계,상급,상급,일반,일반,외국인,외국인,소계,소계,소계,소계,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시점","시도별(1)",병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개),병실수 (개),병상수 (개)
"2018","전남",10385,41575,9709,37302,3065,4930,6644,32372,-,-,-,-,579,3746,31,381,28,360,3,21,58,134,8,12
"2018","경북",9908,44396,8836,37182,2116,3121,6720,34061,-,-,-,-,944,6602,47,471,45,455,2,16,81,141,-,-
"2018","경남",14684,64346,13163,55044,4397,6967,8766,48077,-,-,-,-,1375,8615,50,520,44,418,6,102,89,157,7,10
"2018","제주",1315,4940,1192,4387,411,484,781,3903,-,-,-,-,69,362,17,143,13,120,4,23,33,42,4,6
"2019","계",177674,703468,164456,625344,42271,57657,122156,567487,29,200,-,-,10360,64094,955,10463,803,8626,152,1837,1662,3192,241,375
"2019","서울",25170,88059,23800,81044,6923,8639,16850,72209,27,196,-,-,607,3485,242,2530,197,1967,45,563,402,807,119,193
"2019","부산",17621,69862,16404,62952,4476,6723,11928,56229,-,-,-,-,956,5689,90,856,75,699,15,157,153,339,18,26
"2019","대구",8946,38132,8238,33901,2020,2585,6218,31316,-,-,-,-,582,3544,51,542,31,392,20,150,60,129,15,16
"2019","인천",8028,34176,7364,30054,1392,1802,5972,28252,-,-,-,-,489,3277,47,590,41,514,6,76,116,242,12,13
"2019","광주",11018,40206,10638,38101,2428,3486,8210,34615,-,-,-,-,300,1616,27,428,24,348,3,80,50,58,3,3
"2019","대전",6018,23417,5692,21302,1749,2439,3943,18863,-,-,-,-,246,1663,25,381,21,289,4,92,50,66,5,5
"2019","울산",4004,15284,3741,13852,1358,1912,2383,11940,-,-,-,-,221,1237,14,159,13,133,1,26,23,29,5,7
"2019","세종",440,1440,414,1330,165,256,248,1073,1,1,-,-,25,108,-,-,-,-,-,-,1,2,-,-
"2019","경기",32901,133118,30318,117616,7752,10351,22566,107265,-,-,-,-,2139,13110,184,1953,155,1626,29,327,226,377,34,62
"2019","강원",4447,17372,4018,14803,1029,1340,2989,13463,-,-,-,-,303,1947,52,449,46,391,6,58,71,169,3,4
"2019","충북",5293,21336,4659,17765,1223,1570,3436,16195,-,-,-,-,570,3172,18,294,16,264,2,30,45,101,1,4
"2019","충남",6620,28122,6027,24350,1394,1883,4633,22467,-,-,-,-,536,3361,22,352,20,297,2,55,35,59,-,-
"2019","전북",9984,39993,9450,36879,2207,3230,7243,33649,-,-,-,-,378,2416,35,374,32,317,3,57,114,310,7,14
"2019","전남",10811,41844,10105,37547,2453,3590,7652,33957,-,-,-,-,593,3767,36,391,33,370,3,21,69,127,8,12
"2019","경북",10097,43726,9008,36488,1811,2585,7197,33903,-,-,-,-,939,6598,47,477,45,461,2,16,103,163,-,-
"2019","경남",14954,62527,13388,53073,3512,4862,9875,48208,1,3,-,-,1402,8736,47,537,40,431,7,106,110,171,7,10
"2019","제주",1322,4854,1192,4287,379,404,813,3883,-,-,-,-,74,368,18,150,14,127,4,23,34,43,4,6
"2020","계",183013,716292,169293,637098,43119,58762,126158,578232,16,104,-,-,10468,64046,970,10696,815,8807,155,1889,2025,4051,257,401
"2020","서울",25900,89744,24388,82419,7006,8736,17368,73583,14,100,-,-,648,3576,260,2592,214,2017,46,575,475,954,129,203
"2020","부산",18072,70748,16867,63793,4500,6772,12367,57021,-,-,-,-,958,5720,70,869,59,712,11,157,159,340,18,26
"2020","대구",9456,39361,8703,34984,2122,2667,6581,32317,-,-,-,-,568,3474,55,558,34,404,21,154,115,329,15,16
"2020","인천",8290,35078,7630,31007,1430,1870,6200,29137,-,-,-,-,483,3227,45,578,39,502,6,76,120,253,12,13
"2020","광주",11104,39793,10698,37672,2390,3433,8308,34239,-,-,-,-,295,1604,27,410,24,330,3,80,81,104,3,3
"2020","대전",6134,24003,5805,21884,1708,2402,4097,19482,-,-,-,-,244,1635,26,399,22,307,4,92,50,66,9,19
"2020","울산",4042,15345,3772,13887,1316,1870,2456,12017,-,-,-,-,225,1241,15,179,14,153,1,26,25,31,5,7
"2020","세종",650,1991,615,1848,240,340,374,1507,1,1,-,-,25,108,2,26,1,16,1,10,6,7,2,2
"2020","경기",35105,139190,32401,123287,8319,11045,24082,112242,-,-,-,-,2155,13200,192,2065,159,1709,33,356,323,576,34,62
"2020","강원",4471,17216,4064,14771,1018,1314,3046,13457,-,-,-,-,281,1829,52,443,46,390,6,53,71,169,3,4
"2020","충북",5358,21503,4717,17902,1262,1619,3455,16283,-,-,-,-,571,3165,21,311,19,281,2,30,48,121,1,4
"2020","충남",6797,28740,6125,24885,1388,1854,4737,23031,-,-,-,-,581,3364,22,346,20,291,2,55,69,145,-,-
"2020","전북",10110,39878,9534,36613,2194,3192,7340,33421,-,-,-,-,395,2485,34,365,31,308,3,57,140,401,7,14
"2020","전남",10459,40851,9755,36641,2419,3541,7336,33100,-,-,-,-,586,3693,35,377,32,354,3,23,75,128,8,12
"2020","경북",10172,43676,9054,36455,1798,2583,7256,33872,-,-,-,-,959,6560,49,488,47,472,2,16,110,173,-,-
"2020","경남",15549,64261,13952,54725,3644,5117,10307,49605,1,3,-,-,1421,8797,47,521,40,415,7,106,122,208,7,10
"2020","제주",1344,4914,1213,4325,365,407,848,3918,-,-,-,-,73,368,18,169,14,146,4,23,36,46,4,6
"2021","계",189978,722671,173701,637471,43801,59550,129884,577817,16,104,1395,6789,10806,60891,1016,11065,863,9174,153,1891,2797,6042,263,413
"2021","서울",27134,91765,25343,83826,7406,9227,17923,74499,14,100,85,323,684,3419,250,2660,205,2078,45,582,637,1322,135,215
"2021","부산",18400,70710,17030,63398,4455,6738,12575,56660,-,-,95,389,955,5483,64,860,53,705,11,155,238,554,18,26
"2021","대구",9835,39753,8862,34580,2097,2658,6765,31922,-,-,125,643,582,3292,60,584,39,430,21,154,194,642,12,12
"2021","인천",8811,36249,7950,31672,1454,1899,6496,29773,-,-,71,399,522,3059,47,610,41,534,6,76,208,495,13,14
"2021","광주",11186,39187,10713,36914,2330,3338,8383,33576,-,-,58,282,278,1420,27,408,24,328,3,80,107,160,3,3
"2021","대전",6263,23749,5860,21280,1682,2320,4178,18960,-,-,31,196,266,1743,40,433,36,341,4,92,57,78,9,19
"2021","울산",4175,15469,3857,13874,1326,1868,2531,12006,-,-,35,174,238,1198,15,179,14,153,1,26,25,37,5,7
"2021","세종",694,2082,659,1944,253,352,405,1591,1,1,-,-,25,103,2,26,1,16,1,10,6,7,2,2
"2021","경기",36701,141282,33547,124565,8580,11436,24967,113129,-,-,199,957,2222,12548,226,2209,194,1858,32,351,473,941,34,62
"2021","강원",4725,17494,4236,14827,1083,1390,3153,13437,-,-,70,355,282,1693,53,438,47,385,6,53,81,177,3,4
"2021","충북",5624,21658,4825,17592,1296,1658,3529,15934,-,-,77,390,609,3153,21,311,19,281,2,30,91,208,1,4
"2021","충남",7195,29104,6431,25199,1492,1968,4939,23231,-,-,69,343,577,2998,22,349,20,294,2,55,96,215,-,-
"2021","전북",10352,39818,9672,36253,2189,3208,7483,33045,-,-,52,262,432,2446,36,377,33,320,3,57,153,466,7,14
"2021","전남",11008,41276,10144,36600,2286,3327,7858,33273,-,-,113,569,602,3539,36,397,33,372,3,25,105,159,8,12
