시도별,의원,병원,종합병원,상급종합병원,의사,치과의사,한의사,약사,간호사,기타보건의료인,시점
경상북도,1279,55,20,0,3627.0,966.0,1043.0,1640.0,10179.0,2385.0,2021
경상남도,1682,134,23,3,5683.0,1426.0,1262.0,2235.0,15046.0,3792.0,2021
제주특별자치도,463,7,6,0,1195.0,296.0,251.0,499.0,3005.0,738.0,2021
서울특별시,9359,225,42,14,,,,,,,2022
부산광역시,2526,136,25,3,,,,,,,2022
대구광역시,1908,89,13,5,,,,,,,2022
인천광역시,1692,59,17,3,,,,,,,2022
광주광역시,1001,85,22,2,,,,,,,2022
대전광역시,1125,47,9,1,,,,,,,2022
울산광역시,621,33,8,1,,,,,,,2022
세종특별자치시,209,1,2,0,,,,,,,2022
경기도,7692,271,67,5,,,,,,,2022
강원도,791,36,13,2,,,,,,,2022
충청북도,908,37,12,1,,,,,,,2022
충청남도,1091,44,11,2,,,,,,,2022
전라북도,1190,62,12,2,,,,,,,2022
전라남도,958,73,25,1,,,,,,,2022
경상북도,1296,56,20,0,,,,,,,2022
경상남도,1703,132,23,3,,,,,,,2022
제주특별자치도,471,7,6,0,,,,,,,2022
