"이동규모별","시점","전출지별",서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"8인","2019","울산광역시",0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"8인","2019","세종특별자치시",0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0
"8인","2019","경기도",9,0,0,3,1,1,0,1,97,2,0,1,0,2,1,0,0
"8인","2019","강원도",0,0,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0
"8인","2019","충청북도",0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0
"8인","2019","충청남도",0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0
"8인","2019","전라북도",0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0
"8인","2019","전라남도",0,0,0,0,1,0,0,0,0,0,0,1,0,14,0,0,1
"8인","2019","경상북도",0,0,0,0,0,0,0,0,0,1,1,0,0,1,15,0,0
"8인","2019","경상남도",1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0
"8인","2019","제주특별자치도",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"8인","2020","서울특별시",69,0,0,1,0,0,0,1,26,0,0,1,0,1,0,1,0
"8인","2020","부산광역시",0,15,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"8인","2020","대구광역시",0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"8인","2020","인천광역시",0,0,0,23,0,0,0,0,3,1,0,1,1,0,0,0,0
"8인","2020","광주광역시",0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0
"8인","2020","대전광역시",0,0,0,0,0,19,0,3,1,0,0,1,1,0,0,0,0
"8인","2020","울산광역시",0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0
"8인","2020","세종특별자치시",1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"8인","2020","경기도",7,0,0,3,0,0,1,0,118,2,1,0,0,0,0,0,1
"8인","2020","강원도",0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0
"8인","2020","충청북도",0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1
"8인","2020","충청남도",0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0
"8인","2020","전라북도",0,0,0,1,0,0,0,0,0,0,0,1,21,0,0,1,0
"8인","2020","전라남도",1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"8인","2020","경상북도",0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0
"8인","2020","경상남도",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"8인","2020","제주특별자치도",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6
"8인","2021","서울특별시",52,0,0,1,0,0,0,0,18,1,0,0,0,0,0,2,0
"8인","2021","부산광역시",0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"8인","2021","대구광역시",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8인","2021","인천광역시",1,0,0,19,0,0,0,0,2,1,0,0,0,0,0,0,0
"8인","2021","광주광역시",0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0
"8인","2021","대전광역시",0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0
"8인","2021","울산광역시",0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
"8인","2021","세종특별자치시",0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"8인","2021","경기도",8,0,0,3,0,0,0,0,73,0,0,0,0,0,0,1,0
"8인","2021","강원도",1,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
"8인","2021","충청북도",0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0
"8인","2021","충청남도",0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0
"8인","2021","전라북도",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"8인","2021","전라남도",0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"8인","2021","경상북도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"8인","2021","경상남도",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0
"8인","2021","제주특별자치도",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"8인","2022","서울특별시",45,0,0,1,0,0,0,0,8,0,0,1,0,0,1,1,0
"8인","2022","부산광역시",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"8인","2022","대구광역시",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8인","2022","인천광역시",1,0,0,18,0,0,0,0,4,0,1,0,0,0,0,0,0
"8인","2022","광주광역시",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"8인","2022","대전광역시",0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
"8인","2022","울산광역시",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"8인","2022","세종특별자치시",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
